# Slots
ceremonial_torso;Ceremonial Gown;Robe de cérémonie;Zeremonielles Kleid;;Vestimenta ceremonial;;;;;;;;;x
sword_2_battlefield_desc;A weapon lost by enemy soldiers, [OriginalOwner.GetTitledFirstName] kept this weapon on display, after bringing it back from battle. "Spoils of war", some reason. "Sentimental nonsense", others say.;Une arme perdue par des soldats ennemis, [OriginalOwner.Get_le_TitledFirstName] l'a gardée en exposition après l'avoir ramenée d'une bataille. Un butin de guerre pour certains, une absurdité sentimentale pour d'autres.;[OriginalOwner.GetTitledFirstName] stellt diese Waffe aus, die ursprünglich einem feindlichen Soldaten gehörte. "Kriegsbeute", sagen manche. "Sentimentaler Unsinn", sagen andere.;;Un arma perdida por soldados enemigos, [OriginalOwner.GetTitledFirstName] la exhibe tras volver de la batalla. Algunos dicen que es un trofeo de guerra, otros que tontería sentimental.;;;;;;;;;x
sword_2_battlefield_upgraded;An Upgraded Heavy Blade;Une lame lourde améliorée;Geschärfte Schwere Klinge;;Una espada pesada mejorada;;;;;;;;x
sword_3_battlefield;A Short-Sword;Épée courte;Ein Kurzschwert;;Una espada corta;;;;;;;;;x
sword_3_battlefield_desc;According to legend, stolen from a frightened enemy officer, [Root.GetTitledFirstName] treasured this beautiful weapon, allowing it to serve [Root.GetHerHim] both in battle and conversation.;Selon la légende, l'objet a été volé à un officier ennemi effrayé. [Root.Get_Le_TitledFirstName] a chéri cette belle arme, s'en servant autant sur le champ de bataille que dans les conversations.;Der Legende nach gehörte diese wunderschöne Waffe einem verängstigten feindlichen Offizier. [Root.GetTitledFirstName] weiß sie zu schätzen, sowohl für den Kampf, als auch in Konversationen.;;Según la leyenda, [Root.GetTitledFirstName] atesora esta arma, arrebatada un oficial enemigo asustado, para servirle tanto en el combate como en la conversación.;;;;;;;;;x
sword_3_battlefield_upgraded;An Upgraded Short-Sword;Une épée courte améliorée;Geschärftes Kurzschwert;;Una espada corta mejorada;;;;;;;;x
sword_from_heaven;Sword from Heaven;Épée des Cieux;Schwert des Himmels;;Espada del Cielo.;;;;;;;;;x
sword_from_heaven_desc;A sword made of metal that fell from the sky. Some say it is a gift from God.;Une épée fabriquée avec du métal tombé du ciel. Certains disent que c'est un cadeau de Dieu.;Ein Schwert, das aus Metall gemacht wurde, dass aus dem Himmel fiel. Einige sagen, dass es ein Geschenk von Gott sei.;;Una espada de metal que cayó del cielo. Algunos dicen que es un regalo de Dios.;;;;;;;;;x
sword_great_conqueror;Sword of a Great Conqueror;Épée d'un grand conquérant;Schwert des Großen Eroberers;;Espada de un Gran conquistador;;;;;;;;;x
sword_great_conqueror_desc;This sword used to be carried by a Great Conqueror.;Cette épée a été portée par un grand conquérant.;Dieses Schwert wurde früher von einem Großen Eroberer getragen.;;Un Gran conquistador llevó esta espada.;;;;;;;;;x
sword_of_heroes;Sword of Heroes;Épée des héros;Schwert der Helden;;Espada de héroes;;;;;;;;;x
sword_of_heroes_2;Sword of Heroes;Épée des héros;Schwert der Helden;;Espada de héroes;;;;;;;;;x
sword_of_heroes_2_desc;This ornamental weapon is an impressive sight. The blade is gilded and the hilt is adorned with foreign precious stones, such as rubies and sapphires, and agate cameos depicting legendary warriors.;Cette arme ornementale est impressionnante. La lame est dorée et la poignée est ornée de pierres précieuses de l'étranger, comme des rubis et des saphirs, et des camées d'agate représentant des guerriers légendaires.;Diese ornamentale Waffe bietet einen beeindruckenden Anblick. Die Klinge ist vergoldet und das Heft mit fremdartigen Edelsteinen wie zum Rubinen und Saphiren sowie Achatgemmen geschmückt, auf denen legendäre Krieger abgebildet sind.;;Esta arma ornamental es una imagen impresionante. La hoja es dorada y la empuñadura está adornada con piedras preciosas foráneas como rubíes y zafiros, y camafeos de ágata que retratan a guerreros legendarios.;;;;;;;;;x
sword_of_heroes_desc;This ornamental weapon is an impressive sight. The blade is gilded and the hilt is adorned with foreign precious stones, such as rubies and sapphires, and agate cameos depicting legendary warriors.;Cette arme ornementale est impressionnante. La lame est dorée et la poignée est ornée de pierres précieuses de l'étranger, comme des rubis et des saphirs, et des camées d'agate représentant des guerriers légendaires.;Diese ornamentale Waffe bietet einen beeindruckenden Anblick. Die Klinge ist vergoldet und das Heft mit fremdartigen Edelsteinen wie zum Rubinen und Saphiren sowie Achatgemmen geschmückt, auf denen legendäre Krieger abgebildet sind.;;Esta arma ornamental es una imagen impresionante. La hoja es dorada y la empuñadura está adornada con piedras preciosas foráneas como rubíes y zafiros, y camafeos de ágata que retratan a guerreros legendarios.;;;;;;;;;x
sword_of_mohammad;Sword of Mohammad;Épée de Mahomet;Schwert von Mohammed;;Espada de Mahoma;;;;;;;;;x
sword_of_mohammad_desc;This fine and richly-decorated blade is one of the Prophet's nine swords: Al-'Abd, Al-Ma'thur, Al-Rasub, Al-Battar, Hatf, Qal'i, Dhu al-Faqar, Al-Mikhdham, and Al-Qadib.;Cette lame fine et richement décorée est l'une des neuf épées du Prophète: Al-'Abd, Al-Ma'thour, Al-Rasub, Al-Battar, Hatf, Qal'i, Dhu al-Faqar, Al-Mikhdham et Al-Qadib.;Diese edle und reich verzierte Klinge ist eines der neun Schwerter des Propheten. Al-'Abd, Al-Ma'thur, Al-Rasub, Al-Battar, Hatf, Qal'i, Dhu al-Faqar, Al-Mikhdham und Al-Qadib;;Esta hoja hermosa y lujosamente decorada es una de las nueves espadas del Profeta: Al-'Abd, Al-Ma'thur, Al-Rasub, Al-Battar, Hatf, Qal'i, Dhu al-Faqar, Al-Mikhdham y Al-Qadib.;;;;;;;;;x
sword_tier_1;Arming Sword;Épée;Standardschwert;;Espada de caballero;;;;;;;;;x
sword_tier_1_desc;A common sword type worn by many in battle.;Un type d'épée possédé par beaucoup sur le champ de bataille.;Ein gewöhnliches Schwert, wie es von vielen in der Schlacht verwendet wird.;;Un tipo de espada común muy utilizada en la batalla.;;;;;;;;;x
sword_tier_1_new;Sword;Épée;Schwert;;Espada;;;;;;;;;x
sword_tier_1_new_desc;A well crafted sword.;Une épée bien conçue.;Ein gut verarbeitetes Schwert.;;Una espada bien hecha.;;;;;;;;;x
sword_tier_2;Longsword;Épée longue;Langschwert;;Espada larga;;;;;;;;;x
sword_tier_2_desc;A longsword of fine steel. A capable sword that will inflict great damage on its foes.;Une épée longue en acier pur. Une épée capable d'infliger de grands dégâts à ses ennemis.;Ein Langschwert aus gutem Stahl. Brauchbares Schwert, das großen Schaden anrichtet.;;Una espada larga de acero fino. Una espada con gran capacidad para infligir mucho daño a sus enemigos.;;;;;;;;;x
sword_tier_2_new;Sword;Épée;Schwert;;Espada;;;;;;;;;x
sword_tier_2_new_desc;A sword crafted by a grandmaster.;Une épée conçue par un grand maître.;Ein Schwert, das von einem Großmeister gefertigt wurde.;;Una espada forjada por un gran maestro.;;;;;;;;;x
sword_tier_3_fury;Fury;La Furie;Furie;;Furia;;;;;;;;;x
sword_tier_3_fury_desc;A great and magnificent sword known as Fury. Swift in hand-to-hand combat as well as battle, it is sure to bring victory to the one who wields it.;Une grande et magnifique épée connue sous le nom de Furie. Rapide dans le combat au corps-à-corps ainsi que dans la bataille, elle apporte la victoire à celui qui la brandit.;Großes und prächtiges Schwert, das "Furie" getauft wurde. Gleichermaßen geeignet für den Zweikampf und für die Schlacht. Der Sieg ist seinem Träger so gut wie sicher.;;Una espada magnífica y gloriosa conocida como Furia. Rápida en combate cuerpo a cuerpo, así como en la batalla. Traerá la victoria a quienquiera que la blanda.;;;;;;;;;x
sword_tier_3_heartseeker;Heartseeker;La Transperceuse de Coeurs;Herzsucher;;Buscacorazones;;;;;;;;;x
sword_tier_3_heartseeker_desc;A high quality sword, known as Heartseeker. Named after its ability to pierce any armor, it is sure to bring enemies to a swift fate.;Une épée de qualité supérieure, connue sous le nom de la Transperceuse de Coeurs. Nommée d'après sa capacité à transpercer toute armure, elle apporte aux ennemis un destin rapide.;Qualitativ hochwertiges Schwert, das Herzsucher genannt wird, da es jede Rüstung durchdringen kann und dem Feind ein rasches Ende beschert.;;Una espada de gran calidad, conocida como Buscacorazones. Debe su nombre a su habilidad para perforar cualquier armadura y garantiza dirigir a tus enemigos a una muerte inminente.;;;;;;;;;x
sword_tier_3_vengeance;Vengeance;La Vengeresse;Vergeltung;;Venganza;;;;;;;;;x
sword_tier_3_vengeance_desc;Forged with the finest steel available, the sword was named Vengeance, to bring certain doom to any traitor.;Forgée avec le meilleur acier disponible, l'épée a été appelée Vengeresse, pour apporter une condamnation certaine à n'importe quel traître.;Geschmiedet aus dem absolut hochwertigsten Stahl und gefertigt zum Zweck, einen Verräter garantiert zur Strecke zu bringen.;;Esta espada, forjada con el mejor acero existente, recibió el nombre de Venganza para acarrear la ruina a cualquier traidor.;;;;;;;;;x
sword_tier_4_fury;[Root.Religion.GetHighGodName]'s Fury;Furie [Root.Get_du_HighGod];[Root.Religion.GetHighGodName]s Zorn;;Furia de [Root.Religion.GetHighGodName];;;;;;;;;x
sword_tier_4_fury_desc;A legendary blade said to be crafted with the fury of [Root.Religion.GetHighGodName].;Une lame légendaire conçue avec la fureur [Root.Get_du_HighGod].;Eine legendäre Klinge, die angeblich durch den Zorn von [Root.Religion.GetHighGodName] geschmiedet wurde.;;Una hoja legendaria, se dice que;;;;;;;;;x
sword_tier_4_heartseeker;Dragonseeker;Chasseuse de Dragon;Drachensucher;;Buscacorazones;;;;;;;;;x
sword_tier_4_heartseeker_desc;A legendary blade said to rip through the flesh of Dragons.;Une lame légendaire réputée fendre la chair des dragons.;Eine legendäre Klinge, die angeblich durch das Fleisch von Drachen schneidet.;;Una hoja legendaria, se dice que;;;;;;;;;x
sword_tier_4_vengeance;Heaven's Vengeance;Vengeance des Cieux;Rache des Himmels;;Venganza del Cielo;;;;;;;;;x
sword_tier_4_vengeance_desc;A legendary blade said to be the very embodiment of Heaven's anger.;Une lame légendaire réputée être l'incarnation même de la colère des Cieux.;Eine legendäre Klinge, die angeblich die Verkörperung des Zorns des Himmels ist.;;Una hoja legendaria, se dice que;;;;;;;;;x
sword_whispering;Whispering Sword;Épée chuchotante;Flüsterndes Schwert;;Espada susurrante;;;;;;;;;x
sword_whispering_desc;A mysterious sword made of metal tougher than most. Those who wield it say that a voice of a warrior speaks to them.;Une mystérieuse épée en métal particulièrement solide. Ceux qui la manient disent qu'une voix de guerrier leur parle.;Ein geheimnisvolles Schwert aus Metall, das härter als die meisten anderen ist. Diejenigen, die es führen, sagen, dass die Stimme eines Kriegers zu ihnen spricht.;;Una espada misteriosa hecha de metal, más dura que la mayoría. Quienes la empuñan dicen oír la voz de un guerrero.;;;;;;;;;x
tabernacle;The Tabernacle;Le Tabernacle;Das Tabernakel;;El tabernáculo;;;;;;;;;x
tabernacle_desc;A portable tent and place of worship that served the Israelites from the time of the Exodus to their conquest of the Promised Land.;Une tente et un lieu de culte portatifs qui servaient aux israélites depuis le temps de l'Exode jusqu'à leur conquête de la Terre Promise.;Ein mobiles Zelt und Ort der religiösen Verehrung, das den Israeliten von der Zeit des Exodus bis zu ihrer Eroberung des Gelobten Landes diente.;;Una tienda itinerante y santuario del que se sirvieron los israelitas desde la época del éxodo hasta su conquista de la tierra prometida.;;;;;;;;;x
terrible_armor;Poorly Crafted Armor;Armure mal conçue;Schlecht gearbeitete Rüstung;;Armadura pésimamente realizada;;;;;;;;x
terrible_armor_desc;Mostly a waste of good metal, the blacksmith who made this suit of armor was probably drunk when they did so.;Le forgeron qui a fabriqué cette armure était probablement saoul...;Eine Verschwendung von gutem Metall. Der Schmied, der diese Rüstung anfertigte, war wahrscheinlich betrunken, als er sie anfertigte.;;Más que nada, un desperdicio de buen metal. Seguro que el herrero que forjó esta armadura estaba bebido.;;;;;;;;x
terrible_sword;Poorly Crafted Sword;Épée mal fabriquée;Schlecht gefertigtes Schwert;;Espada mal forjada;;;;;;;;x
terrible_sword_desc;The blacksmith who made this sword was probably drunk when they did so.;Le forgeron qui a fabriqué cette épée était probablement saoul.;Der Schmied, der dieses Schmied gemacht hat, war wahrscheinlich währenddessen betrunken.;;Seguro que el herrero que hizo la espada estaba borracho cuando la forjó.;;;;;;;;x
the_annals_of_roots_dynasty;The Annals of [From.OriginalOwner.GetOnlyDynastyName];Les Annales de la Maison [From.OriginalOwner.GetOnlyDynastyName];Annalen der [From.OriginalOwner.GetOnlyDynastyName];;Anales de [From.OriginalOwner.GetOnlyDynastyName];;;;;;;;;x
the_annals_of_roots_dynasty_desc;Any contemporary family of [From.OriginalOwner.GetTitledFirstName] are honored to find their name included in this extravagant chronicle of their house – even if it is only the [From.OriginalOwner.GetTitle] [From.OriginalOwner.GetHerselfHimself] who features in the illustrations.;La famille contemporaine [From.OriginalOwner.Get_du_TitledFirstName] est honorée de trouver son nom dans cette somptueuse chronique de leur Maison - même si seul[From.OriginalOwner.Get_E] [From.OriginalOwner.GetLeLa] [From.OriginalOwner.GetTitle] figure dans les illustrations.;Jedes Familienmitglied von [From.OriginalOwner.GetTitledFirstName] ist geehrt, seinen Namen in dieser extravaganten Chronik ihres Hauses wiederzufinden, auch wenn es nur [From.OriginalOwner.Getderdie] [From.OriginalOwner.GetTitle] selbst ist, die in dieser Illustration hervorgehoben wird.;;Es un honor para toda familia contemporánea de [From.OriginalOwner.GetTitledFirstName] encontrar su nombre en esta crónica extravagante de su casa, aunque solo el [From.OriginalOwner.GetTitle] aparece en las ilustraciones.;;;;;;;;;x
the_art_of_love;The Art of Love;L'art de l'amour;Die Kunst der Liebe;;El arte del amor;;;;;;;;;x
the_art_of_love_desc;Written as a collection of poems, the tips presented by [From.OriginalOwner.GetTitledName] are sometimes classy, occasionally crass, but always revealing about the intricacies of [From.OriginalOwner.Culture.GetName] living and loving.;Écrit comme un recueil de poèmes, les conseils donnés par [From.OriginalOwner.Get_le_TitledName] sont parfois élégants, parfois grossiers, mais révélant toujours la complexité de la façon de vivre et d'aimer [From.OriginalOwner.Culture.GetName].;Als Sammlung von Gedichten geschrieben, sind die Tipps von [From.OriginalOwner.GetTitledName] manchmal klassisch, gelegentlich unfein, decken aber zu jeder Zeit etwas über das [From.OriginalOwner.Culture.GetName]e Liebesleben auf.;;Escrito como una colección de poemas, los consejos presentados por [From.OriginalOwner.GetTitledName] son a veces clásicos, a veces groseros, pero siempre reveladores de las complejidades de la vida y el amor [From.OriginalOwner.Culture.GetName].;;;;;;;;;x
the_art_of_love_rename_1;Ars Amatoria;Ars Amatoria;Ars amatoria;;Ars Amatoria;;;;;;;;;x
