caught_with_forgery;Forgery Discovered;Contrefaçon découverte;Fälschung entdeckt;;Falsificación descubierta;;;;;;;;x
ate_beating_heart;Heart-Eater;Mange des coeurs;Herzfresser;;Comecorazones;;;;;;;;x
religious_tolerance;Religious Tolerance;Tolérance religieuse;Religiöse Toleranz;;Tolerancia religiosa;;;;;;;;x
religious_tolerance_desc;The Ruler has given signs of Religious Tolerance to the population.;Le dirigeant a donné des signes de tolérance religieuse à la population.;Der Herrscher hat der Bevölkerung Zeichen religiöser Toleranz gegeben.;;El gobernante ha dado a la población señales de tolerancia religiosa.;;;;;;;;x
weak_leader_modifier;Weak Leader;Chef faible;Schwacher Anführer;;Líder débil;;;;;;;;x
weak_leader_modifier_desc;Could not control [GetHerHis] own troops.;N'a pas pu contrôler ses propres troupes.;Dieser Anführer konnte nicht einmal die eigenen Truppen kontrollieren.;;No pudo controlar sus propias tropas;;;;;;;;x
strong_leader_modifier;Strong Leader;Chef fort;Starker Anführer;;Líder fuerte;;;;;;;;x
strong_leader_modifier_desc;Does not tolerate indiscipline in the army.;Ne tolère pas l'indiscipline dans son armée.;Duldet keine Undiszipliniertheit in der Armee.;;No tolera la indisciplina en el ejército.;;;;;;;;x
plundering_leader_modifier;Plundering Leader;Chef pillard;Plündernder Anführer;;Líder saqueador;;;;;;;;x
plundering_leader_modifier_desc;Likes to sack and plunder.;Aime piller.;Mag es zu brandschatzen und zu plündern.;;Le gusta saquear y rapiñar.;;;;;;;;x
forging_legend_family_dedication_3_desc;This ruler is dedicating some of [GetHerHis] time pursuing the interests of [GetHerHis] family and trying to increase the standing and prestige of [GetHerHis] dynastic name.;Ce dirigeant consacre une partie de son temps à défendre les intérêts de sa famille et à essayer d'accroître la réputation et le prestige de sa dynastie.;Dieser Herrscher verbringt einige Zeit damit die Interessen [GetHerHis]er Familie zu verfolgen und versucht dabei die Stellung und das Ansehen [GetHerHis]er Dynastie zu erhöhen.;;Este gobernante está dedicando algo de su tiempo a luchar por los intereses de su familia e intentando aumentar la posición y prestigio de su propio nombre dinástico.;;;;;;;;x
forging_legend_martial_law_1;Martial Law;Loi martiale;Kriegsrecht;;Ley marcial;;;;;;;;x
forging_legend_martial_law_1_desc;In an effort to root out dissidents from [GetHerHis] realm, this ruler has dedicated many of [GetHerHis] troops to oversee [GetHerHis] own subjects.;Dans un effort pour extirper les dissidents de son pays, ce dirigeant a consacré beaucoup de ses troupes à surveiller ses propres sujets.;In dem Bemühen anders Denkende in [GetHerHis]em Reich auszurotten hat dieser Herrscher [GetHerHis]e Truppen dazu eingesetzt, um [GetHerHis]e eigenen Untertanen zu überwachen.;;Con el fin de librar a su reino de disidentes, este gobernante ha dedicado a muchas de sus tropas a vigilar a sus propios súbditos.;;;;;;;;x
forging_legend_martial_law_2;Foreign Overseers;Superviseurs étrangers;Ausländische Aufseher;;Vigilantes extranjeros.;;;;;;;;x
forging_legend_martial_law_2_desc;In an effort to root out dissidents from [GetHerHis] realm, this ruler has hired foreign mercenaries to oversee the activities of [GetHerHis] own subjects.;Dans un effort pour extirper les dissidents de son pays, ce dirigeant a embauché des mercenaires étrangers pour surveiller les activités de ses propres sujets.;In dem Bemühen anders Denkende in [GetHerHis]em Reich auszurotten hat dieser Herrscher ausländische Söldner angeheuert, um die Aktivitäten [GetHerHis]er eigenen Untertanen zu überwachen.;;Con el fin de librar a su reino de disidentes, este gobernante ha contratado a mercenarios extranjeros para vigilar a sus propios súbditos.;;;;;;;;x
forging_legend_peasant_disobedience_1;Unruly Peasants;Paysans indisciplinés;Widerspenstige Bauern;;Campesinos ingobernables;;;;;;;;x
forging_legend_peasant_disobedience_1_desc;Following the lax attitude of their ruler, many of [GetTitledFirstName]'s subjects have grown undisciplined and unproductive.;Le laxisme [Get_du_TitledFirstName] a rendu indisciplinés et improductifs beaucoup de ses sujets.;Der lockeren Haltung ihres Herrschers folgend sind viele der Untertanen von [GetTitledFirstName] undiszipliniert und unproduktiv geworden.;;Siguiendo la actitud relajada de su gobernante, muchos de los súbditos de [GetTitledFirstName] se han vuelto improductivos e indisciplinados.;;;;;;;;x
forging_legend_peasant_disobedience_2;Disciplined Peasants;Paysans disciplinés;Disziplinierte Bauern;;Campesinos disciplinados;;;;;;;;x
forging_legend_peasant_disobedience_2_desc;Following a deep revision of the legal system of [GetHerHis] realm, [GetTitledFirstName] has been forced to address some of [GetHerHis] most unruly subjects to restore order in [GetHerHis] realm.;En accord avec une révision en profondeur du système juridique de son pays, [Get_le_TitledFirstName] a été contraint[Get_E] de s'occuper de certains de ses sujets les plus indisciplinés pour rétablir l'ordre dans ses terres.;Als Folge einer tiefgreifenden Überarbeitung des Rechtssystems in [GetHerHis]em Reich war [GetTitledFirstName] dazu gezwungen sich an einige [GetHerHis]er widerspenstigsten Untertanen zu richten, um die Ordnung in [GetHerHis]em Reich wiederherzustellen.;;Tras revisar a fondo el sistema legal de su reino, [GetTitledFirstName] se ha visto obligad[GetOA] a ocuparse de sus súbditos más ingobernables para restaurar el orden en el reino.;;;;;;;;x
forging_legend_religious_squabble_1;Theological Squabble;Querelle théologique;Theologisches Geschwätz;;Riña teológica;;;;;;;;x
forging_legend_religious_squabble_1_desc;Recent theological studies promoted by this ruler have resulted in a long series of religious debates questioning some of the fundamental principles of the realm's religion.;Des études théologiques récentes promues par ce dirigeant ont abouti à une longue série de débats religieux remettant en cause certains des principes fondamentaux de la religion du pays.;Jüngste theologische Studien, die von diesem Herrscher gefördert wurden, haben zu einer Reihe von religiösen Debatten geführt, die einige der fundamentalsten Prinzipien der Religion in Frage stellen.;;Los estudios teológicos que este gobernante fomentó recientemente generaron una larga serie de debates religiosos donde se cuestionaron algunos de los principios fundamentales de la religión del reino.;;;;;;;;x
forging_legend_religious_squabble_2;Theological Debates;Débats théologiques;Theologische Debatten;;Debates teológicos.;;;;;;;;x
forging_legend_religious_squabble_2_desc;Recent theological studies promoted by this ruler have resulted in a long series of religious debates questioning some of the fundamental principles of the realm's religion.;Des études théologiques récentes promues par ce dirigeant ont abouti à une longue série de débats religieux remettant en cause certains des principes fondamentaux de la religion du pays.;Jüngste theologische Studien, die von diesem Herrscher gefördert wurden, haben zu einer Reihe von religiösen Debatten geführt, die einige der fundamentalsten Prinzipien der Religion in Frage stellen;;Los estudios teológicos que este gobernante fomentó recientemente generaron una larga serie de debates religiosos donde se cuestionaron algunos de los principios fundamentales de la religión del reino.;;;;;;;;x
forging_legend_revisiting_laws_1;Revisiting Old Laws;Réexaminer les anciennes lois;Überarbeitet alte Gesetze;;Revisando leyes viejas;;;;;;;;x
forging_legend_revisiting_laws_1_desc;Several scholars and bureaucrats of [GetTitledFirstName]'s realm have been ordered to revise most of [PrimaryTitle.GetName]'s old laws.;Plusieurs érudits et bureaucrates du pays [Get_du_TitledFirstName] ont reçu l'ordre de revoir la plupart des anciennes lois [PrimaryTitle.Get_du_Realm].;Mehrere Gelehrte und Verwalter aus dem Reich von [GetTitledFirstName] wurden dazu angewiesen die meisten der alten Gesetzt von [PrimaryTitle.GetName] zu überarbeiten.;;Se ha ordenado a muchos eruditos y burócratas del reino de [GetTitledFirstName] que revisen la mayoría de las antiguas leyes de [PrimaryTitle.GetName].;;;;;;;;x
forging_legend_revisiting_laws_2;Revisiting Old Laws;Réexaminer les anciennes lois;Überarbeitet alte Gesetze;;Revisando leyes viejas;;;;;;;;x
forging_legend_revisiting_laws_2_desc;This ruler is leading a group of scholars and bureaucrats in an effort to revise and update many of the outdated laws of [PrimaryTitle.GetName].;Ce dirigeant dirige un groupe d'érudits et de bureaucrates dans le but de revoir et de mettre à jour de nombreuses lois obsolètes [PrimaryTitle.Get_du_Realm].;Dieser Herrscher führt eine Gruppe von Gelehrten und Bürokraten an, um viele der veralteten Gesetze von [PrimaryTitle.GetName] zu überarbeiten.;;Este gobernante dirige un grupo de eruditos y burócratas en un intento de revisar y actualizar muchas de las leyes desfasadas de [PrimaryTitle.GetName].;;;;;;;;x
forging_legend_searching_philosophers_1;Searching Great Thinkers;Recherche de grands penseurs;Sucht Große Denker;;Investigando grandes pensadores;;;;;;;;x
forging_legend_searching_philosophers_1_desc;This ruler is investing a great deal of resources in order to attract famous artists and philosophers to [GetHerHis] court.;Ce dirigeant investit beaucoup de ressources afin d'attirer des artistes et des philosophes célèbres à sa cour.;Dieser Herrschers investiert eine große Menge Ressourcen, um berühmte Künstler und Philosophen an [GetHerHis]en Hof zu locken.;;Este gobernante invierte muchos recursos para traer a artistas y filósofos famosos a su corte.;;;;;;;;x
forging_legend_searching_philosophers_2;Promoting Arts;Promeut les arts;Fördert Kunst;;Promocionando las artes;;;;;;;;x
forging_legend_searching_philosophers_2_desc;This ruler is investing a considerable amount of money and time trying to attract artists and great thinkers to [GetHerHis] court.;Ce dirigeant investit énormément d'argent et de temps pour attirer des artistes et des grands penseurs à sa cour.;Dieser Herrschers investiert eine große Menge Geld und Zeit, um Künstler und andere große Denker an [GetHerHis]en Hof zu locken.;;Este gobernante invierte una cantidad considerable de recursos para atraer artistas y grandes pensadores a su corte.;;;;;;;;x
forging_legend_searching_philosophers_3;Reorganizing Court;Réorganisation de la Cour;Reorganisiert Hof;;Reorganizando la corte;;;;;;;;x
forging_legend_searching_philosophers_3_desc;This ruler has taken a personal interest in better equipping [GetHerHis] court to encourage artists and philosophers to take residence within it.;Ce dirigeant s'est pris d'un intérêt particulier en ce qui concerne l'équipement disponible à sa cour afin d'encourager les artistes et les philosophes à y résider.;Dieser Herrscher interessiert sich persönlich dafür [GetHerHis]en Hof besser auszustatten, um Künstler und Philosophen zu ermutigen sich dort niederzulassen.;;Este gobernante se ha tomado un interés personal en equipar mejor su corte con el fin de animar a artistas y filósofos a instalarse en ella.;;;;;;;;x

infiltration_tactics;Infiltration Tactics;Tactiques d'infiltration;Infiltrationstaktiken;;Tácticas de infiltración;;;;;;;;x
infiltration_tactics_desc;This commander is focusing the training of [GetHerHis] soldiers on stealth and espionage, making [GetHerHim] more adept at seeping through the defenses of foreign armies.;Ce commandant focalise l'entraînement de ses soldats sur la discrétion et l'espionnage, les rendant plus aptes à infiltrer les défenses des armées étrangères.;Dieser Kommandant konzentriert das Training [GetHerHis]er Truppen auf Verstohlenheit und Spionage, wodurch diese besser darin sind, die Verteidigungsanlagen fremder Armeen zu durchdringen.;;Este comandante se está centrando en entrar sus soldados en el sigilo y el espionaje, haciéndoles más aptos para colarse entre las defensas de los ejércitos extranjeros.;;;;;;;;x
polished_formation;Polished Formation;Formation améliorée;Ausgefeilte Formation;;Formación refinada;;;;;;;;x
polished_formation_desc;By refining coordination between [GetHerHis] troops, this commander has reduced the time required to mobilize [GetHerHis] army.;En affinant la coordination entre ses troupes, ce commandant a réduit le temps nécessaire pour mobiliser son armée.;Durch die Verbesserung der Koordination zwischen [GetHerHis]en Truppen hat dieser Kommandant die Zeit, die erforderlich ist um [GetHerHis]e Armee zu mobilisieren, reduziert.;;Al mejorar la coordinación entre sus tropas, este comandante ha reducido el tiempo necesario para movilizar su ejército.;;;;;;;;x
advanced_supply_lines;Advanced Supply Lines;Approvisionnement amélioré;verbesserte Versorgungslinien;;Líneas de suministro avanzadas;;;;;;;;x
advanced_supply_lines_desc;By strengthening of communications and exploration efforts, this commander has increased the autonomy of [GetHerHis] armies while in enemy territory.;En renforçant la communication et l'exploration, ce commandant a accru l'autonomie de ses armées en territoire ennemi.;Durch die Verbesserung von Kommunikations- und Erkundungsbemühungen hat dieser Kommandant die Eigenständigkeit [GetHerHis]er Truppen in feindlichem Territorium erhöht.;;Al reforzar sus tareas de comunicación y exploración, este comandante ha aumentado la autonomía de sus ejércitos en territorio enemigo.;;;;;;;;x
endearing_peasants;Endearing Peasants;Se fait aimer des paysans;Glückliche Bauern;;Ganarse el cariño de los campesinos;;;;;;;;x
endearing_peasants_desc;This ruler is sharing [GetHerHis] wealth and issuing a series of festivals for [GetHerHis] less fortunate subjects.;C[GetEEtte] dirigeant[Get_E] partage ses richesses et décrète une période de festivités pour ses sujets moins fortunés.;Dieser Herrscher teilt [GetHerHis]en Reichtum und veranlasst eine Reihe von Festen für [GetHerHis]e weniger glücklichen Untertanen.;;Este gobernante comparte su riqueza y organiza una serie de festivales por sus súbditos menos afortunados.;;;;;;;;x
marital_duty;Marital Duty;Devoir conjugal;Eheliche Pflicht;;Deber marital;;;;;;;;x
marital_duty_desc;This [GetGirlWomanBoyMan] has been recently reminded of [GetHerHis] marital duty to procreate heirs for [GetHerHis] dynasty.;Ce personnage a récemment été rappelé de son devoir conjugal consistant à créer des héritiers pour sa dynastie.;Dieser Charakter wurde kürzlich an [GetHerHis]e eheliche Pflicht erinnert, Erben für [GetHerHis]e Dynastie zu zeugen.;;Se ha recordado hace poco a este personaje que tiene el deber marital de engendrar herederos para su dinastía.;;;;;;;;x
merciful_defender;Merciful Defender;Défenseur miséricordieux;Barmherziger Verteidiger;;Defensor caritativo;;;;;;;;;x
merciful_defender_desc;This [GetGirlWomanBoyMan] had [GetHerHis] rule challenged, but chose to turn the other cheek.;Le règne de se ce personnage a été contesté, mais celui-ci a choisi de tendre l'autre joue.;Diesem Charakter wurde [GetHerHis] Herrschaftsrecht angefochten, aber [GetSheHe] entschied sich dafür auch die andere Wange hinzuhalten.;;Se desafió el derecho a gobernar de este personaje, pero decidió poner la otra mejilla;;;;;;;;;x
merciful_attacker;Calm Aggressor;Agresseur calme;Besonnener Angreifer;;Atacante tranquilo;;;;;;;;;x
merciful_attacker_desc;This [GetGirlWomanBoyMan] convinced somebody to give up any claim to their rule, using some well placed words, and [GetHerHis] [GetDuelWeapon]...;Ce personnage a convaincu quelqu'un d'abandonner toute revendication sur ses titres, en utilisant des mots bien placés et s[Get_on_DuelWeapon]...;Dieser Charakter überzeugte jemanden jegliche Ansprüche auf [GetHerHis]e Herrschaft aufzugeben, indem [GetSheHe] einige gut platzierte Wörter und [GetHerHis][GetnMale] [GetDuelWeapon] benutzte... ;;Este personaje convenció a alguien para que renunciase a sus derechos sobre su reinado, usando palabras bien dichas y su [GetDuelWeapon]…;;;;;;;;;x
merciful_brother;Merciful Brother;Frère miséricordieux;Barmherziger Bruder;;Hermano caritativo;;;;;;;;;x
merciful_brother_desc;This [GetGirlWomanBoyMan] had [GetHerHis] very right to rule challenged, but chose to turn the other cheek.;Ce personnage a eu son droit à régner contesté, mais a choisi de tendre l'autre joue.;Diesem Charakter wurde [GetHerHis] Herrschaftsrecht angefochten, aber [GetSheHe] entschied sich dafür auch die andere Wange hinzuhalten.;;Se desafió el derecho a gobernar de este personaje, pero decidió poner la otra mejilla.;;;;;;;;;x
merciful_sister;Merciful Sister;Soeur miséricordieuse;Barmherzige Schwester;;Hermana caritativa;;;;;;;;;x
merciful_sister_desc;This [GetGirlWomanBoyMan] had [GetHerHis] very right to rule challenged, but chose to turn the other cheek.;Ce personnage a eu son droit à régner contesté, mais a choisi de tendre l'autre joue.;Diesem Charakter wurde [GetHerHis] Herrschaftsrecht angefochten, aber [GetSheHe] entschied sich dafür auch die andere Wange hinzuhalten.;;Se desafió el derecho a gobernar de este personaje, pero decidió poner la otra mejilla.;;;;;;;;;x
