# Vanilla
alcohol_gift_decision;Send Alcohol Gift;Offrir de l'alcool;Alkohol-Geschenk schicken;;Enviar regalo de alcohol;;;;;;;;;x
request_council_position_desc;I can ask my Liege, §Y[Root.GetTitledFirstName]§!, for a position on the Council. This can only be done once every two years.;Je peux demander à m[Root.GetOnA] [Root.GetLordLady] lige, [Root.Get_le_TitledFirstNameJ], un siège au Conseil, mais ceci n'est possible qu'une fois tous les deux ans.;Ich kann meinen Lehnsherrn, §Y[Root.GetTitledFirstName]§!, kontaktieren und um eine Position im Rat bitten. Dies kann ich nur einmal alle zwei Jahre tun.;;Puedo contactar con mi señor y pedir un puesto en el Consejo. Esto solo se puede hacer una vez cada dos años.;;;;;;;;;x
send_troops_mercenary_company_feudal;Send Troops to Company;Envoyer des troupes à la compagnie;Truppen an Trupp senden;;Enviar la tropas a compañía;;;;;;;;;x
send_troops_mercenary_company_feudal_desc;By paying for more troops for the Mercenary Company you can increase its size.;En finançant davantage de troupes pour la compagnie de mercenaires, vous pouvez en augmenter la taille.;Wenn Ihr weitere Truppen für den Söldnertrupp kauft, könnt Ihr diesen erweitern.;;Pagando más tropas a la compañía mercenaria puede aumentar su tamaño.;;;;;;;;;x

# Rajas of India
become_kshatriya;Become Kshatriya Caste;Appartenir à la caste des kshatriya;Wechsel zur Kshatriyakaste;;Cambiar a casta Chatria;;;;;;;;;x
become_kshatriya_desc;Changing caste is traditionally not possible. However, for a determined ruler who is willing to pay the price in gifts and bribes as well as risk the ire of [hindu.GetName] society, even the impossible might be achieved. And after a generation or so, who knows, people might even forget that [Root.GetHerHis] family weren't always Kshatriya...\n\nA person of high learning will impress more and thus and have a lower cost in gold for the whole process.;La tradition en Inde ne permet pas de changer de caste. Cependant, si un seigneur est prêt à en payer le prix sous forme de cadeaux et de pots-de-vin, et à risquer l'ire de la société [hindu.GetName], même l'impossible peut se réaliser. Et après une génération environ, qui sait, on oubliera peut-être que sa famille n'a pas toujours été kshatriya...\n\nUne personne à l'érudition élevée fera meilleure impression et devra dépenser moins d'or pour parvenir au même résultat.;Traditionell ist der Wechsel der Kaste in Indien nicht möglich. Doch für einen entschlossenen Herrscher, der bereit ist, den Preis in Geschenken und Bestechungen zu zahlen und den Zorn der [hindu.GetName]en Gesellschaft auf sich zu nehmen, ist nichts unmöglich. Nach einigen Generationen könnten die Leute vielleicht sogar vergessen, dass [Root.GetHerHis]e Familie nicht immer Kshatriya waren...\n\nEine Person mit hoher Bildung beeindruckt mehr und zahlt daher weniger Gold.;;Tradicionalmente, no es posible cambiar de casta. Sin embargo, un gobernante dispuesto a pagar el precio en regalos y sobornos, y a arriesgarse a enfurecer a la sociedad [hindu.GetName], puede conseguir incluso lo imposible. Y tras una generación o dos, quién sabe, la gente puede llegar a olvidar que su familia no fue siempre Kshatriya…\n\nUna persona muy educada impresionará más y por lo tanto el proceso le costará menos oro.;;;;;;;;;x
become_samrat_chakravartin;Become Samrat Chakravartin;Devenir Samrat Chakravartin;Werdet zum Samrat Chakravartin;; Convertirse a Samrat Chakravartin;;;;;;;;;x
become_samrat_chakravartin_desc;An Indian ruler who manages to emulate Ashoka the Great and unite all the lands of India under [Root.GetHerHis] rule may claim the title of Samrat Chakravartin, Emperor of Emperors. This title embodies the concept of the ideal and universal world ruler in Indian tradition. Claiming it is a hard task, but living up to it may be even harder...;Un souverain indien qui parvient à imiter Ashoka le Grand et unir toutes les provinces de l'Inde sous sa couronne peut revendiquer le titre de Samrat Chakravartin, empereur des empereurs. Ce titre désigne le concept d'un souverain mondial idéal et universel dans la tradition indienne. Le revendiquer est une tâche ardue, mais en être digne pourrait l'être encore plus...;Ein indischer Herrscher, der es schafft, es Ashoka dem Großen gleichzutun und unter [Root.GetHerHis]er Herrschaft alle indischen Staaten zu vereinigen, darf sich mit dem Titel Samrat Chakravartin schmücken, dem Kaiser aller Kaiser. Dieser Titel verkörpert das Konzept des ideellen und universellen Weltenherrschers in der indischen Tradition. Ihn zu beanspruchen ist das Eine, ihm aber gerecht zu werden ist wahrscheinlich um einiges schwerer...;; Un gobernante indio que logra emular a Ashoka el Grande y unir todas las tierras de la India bajo [Root.GetHerHis] gobierno puede reclamar el título de Samrat Chakravartin, Emperador de Emperadores. Este título personifica el concepto del gobernante ideal y universal del mundo en la tradición india. Es una tarea difícil, pero estar a la altura puede ser aún más difícil...;;;;;;;;;x
choose_hindu_patron_deity;Choose a Patron Deity;Choisir une divinité protectrice;Wählt einen Schutzgott.;;Elige una deidad protectora.;;;;;;;;;x
choose_hindu_patron_deity_desc;You can choose a personal patron deity from among the most powerful of the many gods and godesses of the Hindu faith. People will associate your rule with that deity and some aspects of government will be strengthened as a result, though you should be aware that this always has a cost in some other area. There are those who argue that it's best to stay neutral and anger no one.;Vous pouvez choisir une divinité protectrice pour vous-même parmi les plus puissants dieux et déesses de l'hindouisme. On associera votre règne à celui de cette divinité et certains aspects de votre gouvernement seront renforcés en conséquence. Prenez garde cependant : d'autres domaines seront pénalisés. Il y a ceux qui disent qu'il vaut mieux rester neutre et ne froisser personne.;Ihr könnt einen persönlichen Schutzgott aus den mächtigsten der vielen Götter des Hinduismus wählen. Das Volk wird Eure Herrschaft mit dieser Gottheit verbinden. Als Folge daraus werden einige Bereiche der Regierung gestärkt, doch stets zum Nachteil in anderen Bereichen. Einige meinen, es sei das Beste, neutral zu bleiben und niemanden zu verärgern.;;Puedes elegir una deidad protectora de entre los más poderosos de los muchos dioses y diosas de la fe Hindú. La gente asociará tu mandato con esa deidad y algunos aspectos del gobierno se fortalecerán por ello, aunque debes tener en cuenta que siempre supondrá un coste en otra área. Hay quien dice que es mejor mantenerse neutral y no enfadar a ninguno.;;;;;;;;;x
convert_indian_branch;Change Religious Branch;Changer de dévotion;Religiösen Zweig ändern;;Cambio de poder religioso;;;;;;;;;x
convert_indian_branch_desc;A person following any of the [indian_group.GetGroupName] religions may convert from one branch of their religion to another. Such a choice may only be made once in a lifetime, however.;Un adepte du groupe religieux [indian_group.GetGroupName] peut se convertir à une autre branche de sa religion. Cependant, on ne peut faire ce choix qu'une fois au cours d'une vie.;Eine Person, die einer der [indian_group.GetGroupName]en Religionen folgt, kann von einem Zweig ihrer Religion zu einem anderen konvertieren. Eine solche Wahl kann jedoch nur einmal im Leben getroffen werden.;;Alguien que siga cualquiera de las religiones del grupo [indian_group.GetGroupName] puede pasar de una rama de su religión a otra. Pero tal elección solo se puede hacer una vez en la vida.;;;;;;;;;x
convert_to_buddhism;Convert to Buddhism;Adopter le bouddhisme;Konvertiert zum Buddhismus;;Convertir al Budismo;;;;;;;;;;x
convert_to_buddhism_desc;The Indian religions have so many traditions in common, and the people's beliefs are so mixed, that it is not impossible for a person to simply choose to convert from one of the religions to another. Such a choice may only be made once in a lifetime, however.;Les religions indiennes possèdent tant de traditions communes, et les croyances sont si mélangées, qu'il n'est pas impossible pour quelqu'un de simplement choisir de se convertir à une autre des religions concernées. Cependant, on ne peut faire ce choix qu'une fois au cours d'une vie.;Die indischen Religionen haben so viel gemein und die Glaubensvorstellungen vermischen sich so stark, dass es nicht unmöglich ist, einfach zwischen ihnen zu wechseln. Solch eine Wahl kann allerdings nur einmal im Leben getroffen werden.;;Las religiones indias tienen tantas tradiciones en común y las creencias están tan mezcladas, que no es imposible para alguien simplemente convertirse de una religión a otra. Aunque es una decisión que solo se puede tomar una vez en la vida.;;;;;;;;;x
convert_to_hinduism;Convert to Hinduism;Adopter l'hindouisme;Konvertiert zum Hinduismus;;Convertir al Hinduismo;;;;;;;;;x
convert_to_hinduism_desc;The Indian religions have so many traditions in common, and the people's beliefs are so mixed, that it is not impossible for a person to simply choose to convert from one of the religions to another. Such a choice may only be made once in a lifetime, however.;Les religions indiennes possèdent tant de traditions communes, et les croyances sont si mélangées, qu'il n'est pas impossible pour quelqu'un de simplement choisir de se convertir à une autre des religions concernées. Cependant, on ne peut faire ce choix qu'une fois au cours d'une vie.;Die indischen Religionen haben so viel gemein und die Glaubensvorstellungen vermischen sich so stark, dass es nicht unmöglich ist, einfach zwischen ihnen zu wechseln. Solch eine Wahl kann allerdings nur einmal im Leben getroffen werden.;;Las religiones indias tienen tantas tradiciones en común y las creencias están tan mezcladas, que no es imposible para alguien simplemente convertirse de una religión a otra. Aunque es una decisión que solo se puede tomar una vez en la vida.;;;;;;;;;x
convert_to_jainism;Convert to Jainism;Adopter le jaïnisme;Konvertiert zum Jainismus;;Convertir al Jainismo;;;;;;;;;x
convert_to_jainism_desc;The Indian religions have so many traditions in common, and the people's beliefs are so mixed, that it is not impossible for a person to simply choose to convert from one of the religions to another. Such a choice may only be made once in a lifetime, however.;Les religions indiennes possèdent tant de traditions communes, et les croyances sont si mélangées, qu'il n'est pas impossible pour quelqu'un de simplement choisir de se convertir à une autre des religions concernées. Cependant, on ne peut faire ce choix qu'une fois au cours d'une vie.;Die indischen Religionen haben so viel gemein und die Glaubensvorstellungen vermischen sich so stark, dass es nicht unmöglich ist, einfach zwischen ihnen zu wechseln. Solch eine Wahl kann allerdings nur einmal im Leben getroffen werden.;;Las religiones indias tienen tantas tradiciones en común y las creencias están tan mezcladas, que no es imposible para alguien simplemente convertirse de una religión a otra. Aunque es una decisión que solo se puede tomar una vez en la vida.;;;;;;;;;x
convert_to_local_culture;Convert to Local Culture ([Root.Capital.Culture.GetName]);Adopter la culture locale ([Root.Capital.Culture.GetName]);Konvertiert zur lokalen Kultur ([Root.Capital.Culture.GetName]);; Convertir a la cultura local ([Root.Capital.Culture.GetName]);;;;;;;;;x
convert_to_local_culture_desc;I catch myself thinking in the [Root.Capital.Culture.GetName] language all the time. I govern the [Root.Capital.Culture.GetName] people of [Root.Capital.GetName], but am I truly one of them?;Je me surprends à penser en langue [Root.Capital.Culture.GetName] constamment. Je règne sur le peuple [Root.Capital.GetCultureMasc] de [Root.Capital.GetName], mais suis-je réellement l'un[Root.Get_E] des leurs ?;Ich ertappe mich ständig dabei, meine Gedanken in der [Root.Capital.Culture.GetName]en Sprache zu formulieren. Ich regiere die [Root.Capital.Culture.GetName]en Menschen aus [Root.Capital.GetName], aber bin ich wahrhaftig einer von ihnen?;; Me sorprendo a mí mismo pensando en el idioma [Root.Capital.Culture.GetName] todo el tiempo. Yo gobierno a los [Root.Capital.Culture.GetName] gente de [Root.Capital.GetName], pero en realidad, soy uno de ellos? ;;;;;;;;;x
convert_to_local_religion;Convert to Local Religion ([Root.Capital.Religion.GetName]);Adopter la religion locale ([Root.Capital.Religion.GetName]);Konvertiert zur lokalen Religion ([Root.Capital.Religion.GetName]);; Convertir a la religión local ([Root.Capital.Religion.GetName];;;;;;;;;x
convert_to_local_religion_desc;The §Y[Root.Capital.Religion.GetName]§! people in §Y[Root.Capital.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert and embrace the glory of §Y[Root.Capital.Religion.GetRandomGodName]§!...;Les habitants §Y[Root.Capital.GetReligionMascPl]§! de §Y[Root.Capital.GetName]§! m'impressionnent par la profondeur et la passion avec laquelle ils vivent leur foi. J'envisage de me convertir et de faire mienne la gloire [Root.Capital.Get_du_HighGod].;Die §Y[Root.Capital.Religion.GetName]en§! Menschen in §Y[Root.Capital.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, zu konvertieren und §Y[Root.Capital.Religion.GetRandomGodName]§! zu preisen...;;La gente §Y[Root.Capital.Religion.GetName]§! de §Y[Root.Capital.GetName]§! me impresiona con la profundidad y la pasión de su fe. Estoy tentado a convertirme y abrazar la gloria de §Y[Root.Capital.Religion.GetRandomGodName]§!...;;;;;;;;;x
find_guru;Search for a Guru;Chercher un gourou;Nach einem Guru suchen;;Buscar un gurú;;;;;;;;x
find_guru_desc;Finding a wise guru and inviting him to your court would improve your prestige as well as give you the benefits of his sage advice.;Trouver un gourou sage et le faire entrer à votre cour améliorerait votre prestige et vous permettrait de bénéficier de ses conseils avisés.;Einen weisen Guru zu finden und an Euren Hof zu laden, würde Euer Prestige erhöhen und Euch die Vorteile seines Rates geben.;;Encontrar un sabio gurú e invitarlo a tu corte mejorará tu prestigio y te dará los beneficios de su sabio consejo.;;;;;;;;x
hold_diwali_feast_buddhist;Hold Diwali Feast;Organiser le Diwali;Veranstaltet ein Diwali-Fest;;Organizar Festival Diwali;;;;;;;;;x
hold_diwali_feast_buddhist_desc;Diwali is the traditional Indian harvest feast. It celebrates the triumph of light over darkness, good over evil and hope over despair.;Diwali est une festivité traditionnelle des moissons en Inde. On y célèbre le triomphe de la lumière sur les ténèbres, du bien sur le mal et de l'espoir sur le désespoir.;Diwali ist das traditionelle indische Erntefest. Gefeiert wird der Triumph von Licht über Dunkelheit, Gut über Böse und Hoffnung über Verzweiflung.;;Diwali es el festival tradicional Indio de la cosecha. Celebra el triunfo de la luz sobre la oscuridad, del bien sobre el mal y de la esperanza sobre la desesperación.;;;;;;;;;x
